coffee name,coffee rating,roaster name,roaster city,coffee origin country,coffee origin city,roast level,price,aroma,acidity,body,flavor,aftertaste,species (variety),price per kg USD,roaster country
Kona Peaberry,94,Big Island Coffee Roasters,Mountain View,Hawaii,Kona growing region,Medium-Light,35.0,9,9,9,9,8,Typica,123.45679012345678,United States of America
Panama Finca Los Lajones Natural,94,Bird Rock Coffee Roasters,San Diego,Panama,Boquete growing region,Light,29.0,9,9,9,9,8,,85.24647990828655,United States of America
SL28,94,Hala Tree Kona Coffee,Captain Cook,Hawaii,North Kona growing district,Medium-Light,33.0,9,9,9,9,8,SL28,145.5026455026455,United States of America
Bourbon Pointu Natural,94,Kona Farm Direct,Holualoa,Hawaii,Kona growing region,Medium-Light,50.0,9,9,9,9,8,Bourbon,251.95263290501384,United States of America
Ethiopia Guji Hambela Buku Abel Slow Dry Natural 2400m,94,Atom Coffee Roasters,Douliou City,Ethiopia,Guji Zone;Oromia Region,Light,13.2,9,9,9,9,8,Landrace,60.0,Taiwan
Flight Seasonal Espresso,95,Red Rooster Coffee Roaster,Floyd,Ethiopia;Dominican Republic,,Medium-Light,18.99,9,9,9,9,9,,55.82174667097798,United States of America
Panama Boquete Flor De Mariposa Geisha Espresso,96,Kakalove Cafe,Chia-Yi,Panama,Boquete growing region,Medium-Light,16.5,9,9,9,9,10,Geisha,72.75132275132275,Taiwan
Guji Ethiopia Washed,94,Peach Coffee Roasters,Johns Creek,Ethiopia,Guji Zone;Oromia Region,Light,17.99,9,9,9,9,8,,52.88221288103706,United States of America
Colombia Monteblanco Geisha,94,Merge Coffee Company,Harrisonburg,Colombia,Huila Department,Light,9.99,9,9,9,9,8,Geisha,88.09523809523809,United States of America
Ethiopia Gedeo Kochere Reko Natural,94,Interpretation Coffee,Chia-Yi,Ethiopia,Yirgacheffe growing region,Light,16.0,9,9,9,9,8,Landrace,69.56521739130434,Taiwan
Costa Rica Aris Red Honey Lot 2002 Espresso,94,Kakalove Cafe,Chia-Yi,Costa Rica,Central Valley,Medium-Light,8.91,9,9,9,8,9,,39.285714285714285,Taiwan
