Country (In thousand 60-kg bags),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Fiji,1.598,1.464,1.576,2.643,1.946,4.308,3.096,2.139,2.030,2.838,2.361,8.344,11.212,2.682,3.611,6.660,1.872,2.023,0.951,1.851,1.970,1.424,1.295,1.872,1.830,1.951,2.343,3.516,3.438,9.234
Iran,3.548,5.108,2.315,5.429,0.918,0.197,0.010,0.454,2.110,2.060,2.526,7.409,4.132,12.836,32.530,43.130,61.068,35.821,69.807,66.556,145.623,137.218,155.931,107.686,81.673,101.630,161.476,208.167,245.073,445.384
Iraq,8.333,0.194,0.000,0.300,0.300,0.758,1.346,2.346,0.468,3.347,1.448,9.441,4.907,7.133,10.073,9.120,6.127,17.110,23.763,14.003,10.580,19.923,22.319,52.973,36.521,33.380,53.018,176.346,223.657,56.220
Israel,272.700,340.567,453.354,468.979,478.510,449.967,461.008,462.459,522.855,451.985,357.035,429.984,394.383,431.377,460.606,504.967,593.128,586.790,592.933,513.598,657.494,647.794,661.752,639.110,591.767,620.403,598.800,718.987,733.857,856.183
Jordan,50.823,63.766,106.081,47.143,46.993,78.045,81.246,94.777,128.232,118.741,174.163,158.632,204.468,161.975,222.130,159.398,189.117,232.254,256.937,336.087,356.385,326.454,405.204,550.312,565.737,563.672,635.541,672.943,816.334,695.286
Kazakhstan,0.000,0.000,0.650,4.333,9.100,10.975,3.007,2.765,21.200,10.456,18.600,33.108,34.923,56.874,66.282,66.027,111.727,163.717,150.867,184.362,158.267,132.756,132.049,137.765,130.914,127.678,144.947,182.479,206.210,240.538
Kiribati,0.129,0.198,0.128,0.198,0.198,0.198,0.365,0.198,0.198,0.532,0.698,0.198,3.088,0.594,0.360,0.159,0.512,0.037,0.356,0.147,0.135,0.220,0.121,0.230,0.804,0.367,0.501,2.009,2.482,1.011
Kuwait,20.697,18.549,44.867,33.623,32.903,40.377,45.620,38.089,51.072,55.986,52.049,77.430,87.024,72.509,73.098,89.727,59.990,61.769,74.761,72.239,72.047,82.897,101.185,95.831,155.555,164.454,221.846,209.074,261.975,264.850
Kyrgyzstan,0.000,0.000,2.000,0.616,0.294,0.187,0.067,1.600,5.453,1.796,0.117,0.025,0.694,3.278,4.801,5.622,7.486,7.294,7.980,13.689,16.614,21.457,18.881,16.837,19.837,21.441,39.790,21.984,18.845,28.062
Lebanon,166.667,266.667,350.000,250.000,216.667,300.000,300.000,255.270,305.984,282.767,275.019,424.530,322.615,314.925,414.606,356.567,315.632,435.531,397.134,421.956,460.866,432.396,451.213,647.235,612.295,645.962,638.888,620.298,648.696,623.112
Malaysia,178.935,201.079,214.155,211.700,231.164,313.935,407.217,415.882,304.539,393.126,510.325,630.306,667.805,546.406,761.281,508.985,767.866,970.035,"1,014.142",868.045,"1,243.569","1,586.664","1,742.015","1,957.473","1,822.584","1,843.970","1,948.434","2,044.338","2,323.992","2,418.935"
Marshall Islands,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.602
Federated States of Micronesia,0.000,0.000,0.000,0.000,0.000,1.171,0.054,1.301,0.231,1.169,1.244,3.163,3.645,3.029,3.319,2.929,3.606,3.769,6.346,8.778,4.011,3.834,4.726,6.399,4.560,4.979,3.688,2.001,3.348,1.348
Mongolia,0.289,0.000,0.171,0.060,0.901,0.874,2.284,1.431,3.089,1.491,1.335,4.817,14.338,5.064,9.390,10.837,12.170,7.934,10.013,8.781,11.291,15.817,14.223,21.969,24.157,25.963,27.038,31.778,32.558,35.689
